SettlementPoint,Year,total_hours,neg_hours,pct_neg,mean_neg_price,min_price
HB_BUSAVG,2016,8783,0,0,NA,1.18
HB_BUSAVG,2017,8759,0,0,NA,1.94
HB_BUSAVG,2018,8759,0,0,NA,5.09
HB_BUSAVG,2019,8759,0,0,NA,3.26
HB_HOUSTON,2016,8783,0,0,NA,1.26
HB_HOUSTON,2017,8759,0,0,NA,3.03
HB_HOUSTON,2018,8759,0,0,NA,5.1
HB_HOUSTON,2019,8759,0,0,NA,3.79
HB_HUBAVG,2016,8783,0,0,NA,1.05
HB_HUBAVG,2017,8759,0,0,NA,1.84
HB_HUBAVG,2018,8759,0,0,NA,4.2
HB_HUBAVG,2019,8759,0,0,NA,2.91
HB_NORTH,2016,8783,0,0,NA,1.3
HB_NORTH,2017,8759,0,0,NA,1.88
HB_NORTH,2018,8759,0,0,NA,6.24
HB_NORTH,2019,8759,0,0,NA,3.49
HB_PAN,2019,6480,849,13.102,-10.29,-29.98
HB_SOUTH,2016,8783,7,0.08,-18.83,-27.74
HB_SOUTH,2017,8759,0,0,NA,1.89
HB_SOUTH,2018,8759,0,0,NA,4.08
HB_SOUTH,2019,8759,0,0,NA,3.58
HB_WEST,2016,8783,5,0.057,-0.24,-0.61
HB_WEST,2017,8759,37,0.422,-1.11,-4.3
HB_WEST,2018,8759,74,0.845,-1.5,-5.98
HB_WEST,2019,8759,33,0.377,-0.39,-1.42
LZ_AEN,2016,8783,0,0,NA,1.17
LZ_AEN,2017,8759,0,0,NA,1.92
LZ_AEN,2018,8759,0,0,NA,4.55
LZ_AEN,2019,8759,0,0,NA,3.76
LZ_CPS,2016,8783,0,0,NA,1.14
LZ_CPS,2017,8759,0,0,NA,1.99
LZ_CPS,2018,8759,0,0,NA,4.64
LZ_CPS,2019,8759,0,0,NA,3.86
LZ_HOUSTON,2016,8783,0,0,NA,1.26
LZ_HOUSTON,2017,8759,0,0,NA,3
LZ_HOUSTON,2018,8759,0,0,NA,5.1
LZ_HOUSTON,2019,8759,0,0,NA,3.8
LZ_LCRA,2016,8783,0,0,NA,1.15
LZ_LCRA,2017,8759,0,0,NA,1.9
LZ_LCRA,2018,8759,0,0,NA,4.24
LZ_LCRA,2019,8759,0,0,NA,3.75
LZ_NORTH,2016,8783,0,0,NA,1.48
LZ_NORTH,2017,8759,0,0,NA,1.89
LZ_NORTH,2018,8759,0,0,NA,5.84
LZ_NORTH,2019,8759,0,0,NA,3.67
LZ_RAYBN,2016,8783,0,0,NA,1.45
LZ_RAYBN,2017,8759,0,0,NA,2.04
LZ_RAYBN,2018,8759,0,0,NA,7.42
LZ_RAYBN,2019,8759,0,0,NA,4.57
LZ_SOUTH,2016,8783,0,0,NA,0.56
LZ_SOUTH,2017,8759,0,0,NA,1.85
LZ_SOUTH,2018,8759,0,0,NA,4.14
LZ_SOUTH,2019,8759,0,0,NA,3.46
LZ_WEST,2016,8783,4,0.046,-0.46,-0.86
LZ_WEST,2017,8759,16,0.183,-1.17,-3.67
LZ_WEST,2018,8759,11,0.126,-2.21,-3.54
LZ_WEST,2019,8759,0,0,NA,0.44
